topic_number,word,weight
0,fun,177.38740227926516
0,game,167.40122291170167
0,like,75.32880719885338
0,really,51.80201229455947
0,campaign,47.29773904812603
0,hard,47.11429637139806
0,time,44.96772474961011
0,mode,43.74812866864102
0,play,43.28423769726876
0,rts,41.16526446835621
1,great,70.06770592510323
1,game,59.807436051860115
1,love,29.347263738882514
1,awesome,19.41243280235992
1,cool,18.56593737330252
1,billions,16.22934999135773
1,fun,15.962573100713264
1,campaign,14.980509199089996
1,mode,11.751936714675761
1,access,11.34365658224308
2,10,25.35074336007697
2,diplomacy,12.94001259212203
2,option,11.672194458035792
2,peasants,8.798741189328839
2,ok,7.1037522249031975
2,addicting,6.030104221055193
2,stop,3.444718719729565
2,absolutely,3.305147175401837
2,billion,3.0353339719798855
2,grind,2.9982117855662054
3,gud,10.38201265539494
3,stronghold,6.429277480778563
3,god,4.93075889310617
3,wonderful,4.302840428730773
3,lord,3.5226538869155215
3,banger,3.093670089199436
3,balanced,3.0294925110529345
3,underrated,2.8919582096250767
3,gem,2.618120959059072
3,freezes,2.545927992907845
4,good,140.78979207157198
4,game,55.114335754115594
4,fun,17.521294044066263
4,amazing,13.49447522693272
4,great,10.139579731927695
4,wait,9.743655077239064
4,release,9.440691009949912
4,looking,8.891108604063637
4,forward,8.800117437102179
4,strategy,8.528026981800041
