topic_number,word,weight
0,ok,952.5521200168869
0,amazing,856.3331537485873
0,game,615.5517398729734
0,baby,611.1388192101803
0,crying,515.4137151551743
0,child,417.3316479862878
0,okay,404.8594006803637
0,funny,358.711066012712
0,addictive,353.75775518214306
0,tears,292.48860635001637
1,yes,2369.595165324107
1,isaac,1576.4742411019383
1,love,1219.7642085124337
1,nice,1174.2175825174008
1,alright,590.1409876451794
1,shit,546.8945203054591
1,guess,533.2317995659404
1,game,530.1893525230602
1,money,448.92083623311464
1,bad,441.704360010802
2,game,4052.160712130555
2,great,2348.2471332673285
2,hours,1563.4970191317052
2,fun,1317.968210095961
2,play,1195.5451910785653
2,time,1075.1105176502517
2,like,1073.581396865648
2,items,931.0453594712653
2,playing,854.7436386275352
2,new,806.2947004617996
3,10,2558.0200088422107
3,cool,1204.046800480521
3,game,948.6084411313481
3,hate,947.9055274459669
3,awesome,606.055588217384
3,play,436.88849498990305
3,fuck,407.09317875618467
3,fucking,312.3991135163188
3,die,295.72436686744805
3,pain,267.55453094369676
4,good,8476.771422335736
4,game,3840.8118103567467
4,fun,3420.300514311822
4,best,1970.8224405764995
4,pretty,1196.0244933512008
4,like,971.2043053324501
4,gud,957.7583766465298
4,played,482.8658221915908
4,really,447.4148533348653
4,yeah,443.07052877153546
